code,event_date,y_prob,prob_day1,prob_day2,prob_day3,prob_day4,prob_day5,prob_day6,prob_event,type,prob,order
716,8/5/25,0.851797283,0.237283453,0.246056512,0.411060989,0.360733241,0.62676698,0.719510615,0.851797283,,,
716,8/7/25,0.866168916,0.411060989,0.360733241,0.62676698,0.719510615,0.851797283,0.819206953,0.866168916,,,
718,9/11/25,0.866935313,0.24734737,0.3054353,0.309716821,0.343106896,0.797841609,0.831587076,0.866935313,,,
718,9/12/25,0.887473404,0.3054353,0.309716821,0.343106896,0.797841609,0.831587076,0.866935313,0.887473404,,,
753,8/25/25,0.868392289,0.290312767,0.478980511,0.665890694,0.575799346,0.816643298,0.777377069,0.868392289,,,
757,9/12/25,0.854102314,0.427502543,0.542221546,0.723923802,0.698322654,0.714507461,0.644422352,0.854102314,,,
796,7/8/25,0.893276215,0.563153684,0.505743325,0.596780598,0.620602965,0.605900943,0.722638726,0.893276215,,,
796,7/17/25,0.883009911,0.806191742,0.789358854,0.744579613,0.737863123,0.693814576,0.785298109,0.883009911,,,
796,7/22/25,0.900736272,0.737863123,0.693814576,0.785298109,0.883009911,0.824394822,0.817775607,0.900736272,,,
796,7/24/25,0.90680486,0.785298109,0.883009911,0.824394822,0.817775607,0.900736272,0.81166327,0.90680486,,,
796,7/25/25,0.857382238,0.883009911,0.824394822,0.817775607,0.900736272,0.81166327,0.90680486,0.857382238,,,
796,8/18/25,0.878841341,0.638516605,0.660140634,0.595184088,0.616645396,0.632972062,0.620569885,0.878841341,,,
796,8/29/25,0.879692435,0.66176331,0.72605139,0.541875362,0.537304819,0.51448226,0.815738976,0.879692435,,,
796,9/2/25,0.866762936,0.541875362,0.537304819,0.51448226,0.815738976,0.879692435,0.849993825,0.866762936,,,
796,9/3/25,0.86567229,0.537304819,0.51448226,0.815738976,0.879692435,0.849993825,0.866762936,0.86567229,,,
796,9/4/25,0.884785771,0.51448226,0.815738976,0.879692435,0.849993825,0.866762936,0.86567229,0.884785771,,,
796,9/10/25,0.897127628,0.866762936,0.86567229,0.884785771,0.825347364,0.804062903,0.776474297,0.897127628,,,
796,9/16/25,0.865803003,0.804062903,0.776474297,0.897127628,0.792564392,0.822672307,0.782451153,0.865803003,,,
809,9/10/25,0.911187589,0.363337159,0.281232655,0.360013545,0.504138112,0.390827715,0.798490226,0.911187589,,,
826,9/1/25,0.897220433,0.611521184,0.628333211,0.766265273,0.70906949,0.752951205,0.583027124,0.897220433,,,
837,9/5/25,0.880665839,0.390551239,0.261518061,0.297976047,0.646539211,0.695180833,0.655088961,0.880665839,,,
838,7/7/25,0.855272293,0.248353779,0.184387848,0.224890575,0.289204597,0.818541467,0.665625393,0.855272293,,,
838,7/10/25,0.866142988,0.289204597,0.818541467,0.665625393,0.855272293,0.816554964,0.82211715,0.866142988,,,
886,7/24/25,0.876396358,0.520635784,0.588773072,0.532828808,0.59975487,0.716644704,0.651975513,0.876396358,,,
890,8/6/25,0.888997674,0.488218069,0.424206018,0.49503088,0.487106562,0.469084978,0.549902618,0.888997674,,,
892,7/3/25,0.857642293,0.789601445,0.931658149,0.852423429,0.821133494,0.72191751,0.699509799,0.857642293,,,
892,7/9/25,0.911755741,0.72191751,0.699509799,0.857642293,0.598926067,0.8011145,0.763281584,0.911755741,,,
892,7/10/25,0.892487705,0.699509799,0.857642293,0.598926067,0.8011145,0.763281584,0.911755741,0.892487705,,,
892,8/18/25,0.885677636,0.565892279,0.726705551,0.608175993,0.760489702,0.746648908,0.66668582,0.885677636,,,
892,8/19/25,0.853744984,0.726705551,0.608175993,0.760489702,0.746648908,0.66668582,0.885677636,0.853744984,,,
892,9/9/25,0.871205509,0.82765907,0.792311668,0.733266354,0.763149381,0.733617127,0.754457951,0.871205509,,,
892,9/10/25,0.858759224,0.792311668,0.733266354,0.763149381,0.733617127,0.754457951,0.871205509,0.858759224,,,
901,8/6/25,0.858161271,0.414616942,0.385291994,0.438748121,0.329599917,0.443754077,0.77133888,0.858161271,,,
901,8/8/25,0.875929058,0.438748121,0.329599917,0.443754077,0.77133888,0.858161271,0.774870396,0.875929058,,,
901,8/11/25,0.88961333,0.329599917,0.443754077,0.77133888,0.858161271,0.774870396,0.875929058,0.88961333,,,
901,8/13/25,0.891641796,0.77133888,0.858161271,0.774870396,0.875929058,0.88961333,0.805380821,0.891641796,,,
901,8/14/25,0.857439637,0.858161271,0.774870396,0.875929058,0.88961333,0.805380821,0.891641796,0.857439637,,,
926,9/8/25,0.887984812,0.579904556,0.5608024,0.497682631,0.305747271,0.374207824,0.617014408,0.887984812,,,
955,7/24/25,0.856709301,0.66503197,0.63626945,0.626927257,0.562918067,0.582315624,0.51894331,0.856709301,,,
965,7/11/25,0.865444124,0.475217193,0.436525077,0.539061248,0.572813928,0.582639754,0.740449965,0.865444124,,,
989,7/9/25,0.870085895,0.378269196,0.403059334,0.797543585,0.736116648,0.719074667,0.630006731,0.870085895,,,
1202,9/12/25,0.850521624,0.406375885,0.455629826,0.505667388,0.53494066,0.432512522,0.771447122,0.850521624,,,
1212,8/25/25,0.896803081,0.737943888,0.756219089,0.765619338,0.801762283,0.835389197,0.741758645,0.896803081,,,
1216,7/30/25,0.853197515,0.262068182,0.287726432,0.267212898,0.201077729,0.680646777,0.843019068,0.853197515,,,
600735,9/17/25,0.888220727,0.410324395,0.474357814,0.443958759,0.409030139,0.405091852,0.789160132,0.888220727,1,7.55,2
1234,9/17/25,0.948565006,0.624376595,0.50448662,0.511003971,0.407316297,0.726368427,0.859164774,0.948565006,,,
1236,7/7/25,0.870523214,0.92713815,0.854836524,0.811303198,0.70693773,0.54203546,0.573904157,0.870523214,,,
1239,7/22/25,0.896505773,0.532298028,0.514638841,0.474778563,0.390428126,0.360743791,0.729367852,0.896505773,,,
1267,7/23/25,0.851212859,0.659210742,0.545276463,0.541590154,0.416058898,0.698755801,0.710157633,0.851212859,,,
1267,9/1/25,0.870069325,0.634166241,0.740775406,0.698943675,0.763736606,0.806737661,0.745279372,0.870069325,,,
1296,9/1/25,0.860218287,0.460372478,0.441498607,0.762642026,0.673021913,0.719869435,0.714475214,0.860218287,,,
1318,7/30/25,0.855164528,0.355286181,0.30132851,0.44598344,0.417159289,0.498303235,0.702631176,0.855164528,,,
1318,7/31/25,0.912776232,0.30132851,0.44598344,0.417159289,0.498303235,0.702631176,0.855164528,0.912776232,,,
1330,8/26/25,0.903747916,0.542085111,0.596449196,0.62689805,0.656060636,0.570932865,0.815887749,0.903747916,,,
1331,7/31/25,0.894792855,0.40041849,0.480985045,0.483948916,0.571386874,0.472756892,0.844996631,0.894792855,,,
1331,8/4/25,0.865903318,0.483948916,0.571386874,0.472756892,0.844996631,0.894792855,0.827716529,0.865903318,,,
1359,7/21/25,0.852267921,0.691875041,0.649880171,0.627856672,0.716189146,0.75230819,0.737160683,0.852267921,,,
1360,7/21/25,0.908098698,0.252162784,0.300221473,0.351839542,0.371085107,0.291847467,0.785009861,0.908098698,,,
1360,7/22/25,0.876212239,0.300221473,0.351839542,0.371085107,0.291847467,0.785009861,0.908098698,0.876212239,,,
2017,7/16/25,0.870631278,0.838267207,0.732956886,0.754837751,0.83344394,0.736815751,0.739341736,0.870631278,,,
2017,7/21/25,0.901423156,0.83344394,0.736815751,0.739341736,0.870631278,0.760743022,0.81495434,0.901423156,,,
2017,7/22/25,0.865992248,0.736815751,0.739341736,0.870631278,0.760743022,0.81495434,0.901423156,0.865992248,,,
2017,7/25/25,0.8581599,0.760743022,0.81495434,0.901423156,0.865992248,0.776892304,0.821488857,0.8581599,,,
2017,7/28/25,0.893353403,0.81495434,0.901423156,0.865992248,0.776892304,0.821488857,0.8581599,0.893353403,,,
2017,8/7/25,0.851722121,0.77417469,0.78572613,0.724768043,0.714452505,0.746389151,0.670096934,0.851722121,,,
2021,9/2/25,0.856356621,0.491052985,0.618491352,0.550022542,0.541773736,0.586966515,0.593978703,0.856356621,,,
2021,9/3/25,0.891731024,0.618491352,0.550022542,0.541773736,0.586966515,0.593978703,0.856356621,0.891731024,,,
2021,9/12/25,0.889185965,0.751212478,0.768708706,0.818355918,0.786579669,0.651822209,0.662158847,0.889185965,,,
2022,8/5/25,0.861693621,0.712876797,0.578773797,0.476001024,0.352810591,0.534007311,0.58752507,0.861693621,,,
2022,8/7/25,0.878586829,0.476001024,0.352810591,0.534007311,0.58752507,0.861693621,0.710365295,0.878586829,,,
2037,7/21/25,0.910228431,0.461170077,0.453433961,0.517178297,0.728411853,0.685526907,0.652323425,0.910228431,,,
2037,7/22/25,0.963927925,0.453433961,0.517178297,0.728411853,0.685526907,0.652323425,0.910228431,0.963927925,,,
2037,7/23/25,0.875443578,0.517178297,0.728411853,0.685526907,0.652323425,0.910228431,0.963927925,0.875443578,,,
2046,8/8/25,0.900433064,0.491108298,0.446710467,0.717198908,0.789952278,0.7117998,0.849004209,0.900433064,,,
2046,8/11/25,0.87272644,0.446710467,0.717198908,0.789952278,0.7117998,0.849004209,0.900433064,0.87272644,,,
2046,8/12/25,0.872315228,0.717198908,0.789952278,0.7117998,0.849004209,0.900433064,0.87272644,0.872315228,,,
2046,8/13/25,0.853495359,0.789952278,0.7117998,0.849004209,0.900433064,0.87272644,0.872315228,0.853495359,,,
2046,8/19/25,0.851016819,0.87272644,0.872315228,0.853495359,0.734906435,0.745310187,0.849688292,0.851016819,,,
2052,8/12/25,0.908972979,0.49666509,0.282145351,0.322560638,0.516426682,0.47719875,0.802152634,0.908972979,,,
2052,8/13/25,0.935306728,0.282145351,0.322560638,0.516426682,0.47719875,0.802152634,0.908972979,0.935306728,,,
2052,8/14/25,0.887613952,0.322560638,0.516426682,0.47719875,0.802152634,0.908972979,0.935306728,0.887613952,,,
2052,8/15/25,0.932968915,0.516426682,0.47719875,0.802152634,0.908972979,0.935306728,0.887613952,0.932968915,,,
2052,8/22/25,0.851021051,0.887613952,0.932968915,0.824846506,0.71562326,0.724658251,0.660023987,0.851021051,,,
2053,8/28/25,0.877126873,0.400532544,0.278664112,0.344272882,0.236630335,0.356962144,0.674886107,0.877126873,,,
2053,8/29/25,0.87697494,0.278664112,0.344272882,0.236630335,0.356962144,0.674886107,0.877126873,0.87697494,,,
2055,7/8/25,0.869367063,0.712520599,0.605044246,0.672252119,0.739472151,0.703682184,0.557991385,0.869367063,,,
2057,7/22/25,0.862690389,0.538293242,0.583312035,0.479189336,0.350639194,0.400354892,0.569733739,0.862690389,,,
2062,7/22/25,0.872456908,0.458731592,0.383725554,0.404821754,0.261402071,0.267119497,0.407289594,0.872456908,,,
2067,9/4/25,0.858599126,0.417996019,0.472631395,0.351739854,0.370412529,0.243173063,0.709919035,0.858599126,,,
2082,7/15/25,0.864646733,0.441198528,0.405010015,0.430271953,0.368447453,0.345419347,0.460700393,0.864646733,,,
2082,7/16/25,0.852178156,0.405010015,0.430271953,0.368447453,0.345419347,0.460700393,0.864646733,0.852178156,,,
2082,8/27/25,0.885134637,0.704323828,0.586197913,0.496351361,0.524263144,0.35828504,0.75795269,0.885134637,,,
2082,9/15/25,0.850202501,0.652341187,0.636707664,0.508194149,0.461797148,0.542854726,0.682932317,0.850202501,,,
2090,7/22/25,0.911917806,0.615255773,0.541947603,0.528550208,0.591656387,0.610754967,0.836677909,0.911917806,,,
2097,7/22/25,0.887992799,0.198541716,0.181009397,0.161899403,0.193611786,0.234355316,0.762438834,0.887992799,,,
2097,7/23/25,0.93665427,0.181009397,0.161899403,0.193611786,0.234355316,0.762438834,0.887992799,0.93665427,,,
2097,7/24/25,0.911437094,0.161899403,0.193611786,0.234355316,0.762438834,0.887992799,0.93665427,0.911437094,,,
2097,7/29/25,0.884201765,0.762438834,0.887992799,0.93665427,0.911437094,0.739296556,0.846691251,0.884201765,,,
2097,8/5/25,0.90692848,0.846691251,0.884201765,0.73650986,0.82164067,0.710774541,0.726174235,0.90692848,,,
2104,8/11/25,0.851955116,0.661131084,0.712870717,0.731905043,0.68760252,0.78584224,0.840453267,0.851955116,,,
2104,8/12/25,0.907426,0.712870717,0.731905043,0.68760252,0.78584224,0.840453267,0.851955116,0.907426,,,
2107,7/14/25,0.904743373,0.485873789,0.452989101,0.399135172,0.388081342,0.755245924,0.72619462,0.904743373,,,
2115,8/28/25,0.86041075,0.57770139,0.4686037,0.497081012,0.675955296,0.725188911,0.544699788,0.86041075,,,
2115,8/29/25,0.905996799,0.4686037,0.497081012,0.675955296,0.725188911,0.544699788,0.86041075,0.905996799,,,
2115,9/1/25,0.889283717,0.497081012,0.675955296,0.725188911,0.544699788,0.86041075,0.905996799,0.889283717,,,
2121,7/10/25,0.920698583,0.272503108,0.165194869,0.159134969,0.264418125,0.380894959,0.770768583,0.920698583,,,
2121,7/14/25,0.850814939,0.159134969,0.264418125,0.380894959,0.770768583,0.920698583,0.70709163,0.850814939,,,
2141,8/20/25,0.899464786,0.53169173,0.528639495,0.433581293,0.55558598,0.712985694,0.846967995,0.899464786,,,
2146,9/12/25,0.896434367,0.694424272,0.631851256,0.675882101,0.813001275,0.72842747,0.621450722,0.896434367,,,
2146,9/15/25,0.923041463,0.631851256,0.675882101,0.813001275,0.72842747,0.621450722,0.896434367,0.923041463,,,
2148,8/5/25,0.906249702,0.635089993,0.492328495,0.503818631,0.49249199,0.402559757,0.819694519,0.906249702,,,
2148,8/6/25,0.946732998,0.492328495,0.503818631,0.49249199,0.402559757,0.819694519,0.906249702,0.946732998,,,
2148,8/7/25,0.948297322,0.503818631,0.49249199,0.402559757,0.819694519,0.906249702,0.946732998,0.948297322,,,
2148,8/8/25,0.86570549,0.49249199,0.402559757,0.819694519,0.906249702,0.946732998,0.948297322,0.86570549,,,
2148,8/11/25,0.875063658,0.402559757,0.819694519,0.906249702,0.946732998,0.948297322,0.86570549,0.875063658,,,
2148,8/19/25,0.859624147,0.875063658,0.697146952,0.728303611,0.728906929,0.833409607,0.793523312,0.859624147,,,
603626,9/17/25,0.898791969,0.698658526,0.717174947,0.688127756,0.517439544,0.617070377,0.831617594,0.898791969,1,7.5,3
2150,9/4/25,0.920208752,0.468108267,0.404541731,0.327870309,0.359758854,0.434096158,0.797849894,0.920208752,,,
2150,9/5/25,0.877420187,0.404541731,0.327870309,0.359758854,0.434096158,0.797849894,0.920208752,0.877420187,,,
2158,8/19/25,0.893112481,0.556387126,0.604622483,0.584077954,0.519334257,0.790914059,0.611696243,0.893112481,,,
2158,8/26/25,0.866198123,0.611696243,0.893112481,0.838448524,0.767235875,0.820230603,0.816900313,0.866198123,,,
2161,7/25/25,0.85618782,0.70919168,0.642930329,0.547783971,0.483930618,0.508157849,0.600253046,0.85618782,,,
2161,8/19/25,0.865737259,0.720938563,0.65876323,0.618061185,0.717196524,0.655467749,0.676704466,0.865737259,,,
2163,7/24/25,0.89837712,0.540760815,0.548438072,0.629628897,0.708787501,0.771910787,0.809387505,0.89837712,,,
2164,8/8/25,0.861697972,0.335331589,0.295130551,0.437430888,0.625338674,0.717743039,0.687234163,0.861697972,,,
2164,8/25/25,0.853400171,0.633595884,0.704741836,0.752841711,0.837588489,0.792228997,0.837859571,0.853400171,,,
2167,7/23/25,0.855527043,0.665690184,0.625069737,0.513522863,0.794312298,0.805636823,0.723787546,0.855527043,,,
2167,7/24/25,0.878151596,0.625069737,0.513522863,0.794312298,0.805636823,0.723787546,0.855527043,0.878151596,,,
2167,8/20/25,0.882665634,0.607588649,0.637062013,0.601064384,0.578176022,0.656887174,0.700434506,0.882665634,,,
2173,7/1/25,0.862417102,0.77965337,0.819509804,0.736129165,0.768781185,0.801873326,0.882390559,0.862417102,,,
2173,8/5/25,0.865242481,0.5627653,0.546506047,0.563323796,0.774163067,0.753786385,0.689364076,0.865242481,,,
2173,8/7/25,0.899837554,0.563323796,0.774163067,0.753786385,0.689364076,0.865242481,0.826429725,0.899837554,,,
2173,8/8/25,0.875440359,0.774163067,0.753786385,0.689364076,0.865242481,0.826429725,0.899837554,0.875440359,,,
2173,8/11/25,0.864667654,0.753786385,0.689364076,0.865242481,0.826429725,0.899837554,0.875440359,0.864667654,,,
2173,8/12/25,0.92247045,0.689364076,0.865242481,0.826429725,0.899837554,0.875440359,0.864667654,0.92247045,,,
2173,9/1/25,0.869212329,0.704290092,0.617256939,0.636166513,0.662749648,0.776168704,0.689025342,0.869212329,,,
2175,9/8/25,0.851615548,0.670445442,0.762964189,0.71400851,0.833892167,0.842593491,0.766573906,0.851615548,,,
2177,8/14/25,0.850004852,0.253437817,0.370752513,0.436288953,0.467563659,0.4187572,0.638476849,0.850004852,,,
2177,8/19/25,0.92032057,0.467563659,0.4187572,0.638476849,0.850004852,0.839814305,0.828599691,0.92032057,,,
2178,7/17/25,0.851917803,0.379854441,0.339631855,0.500509024,0.46025905,0.543411374,0.567326665,0.851917803,,,
2178,7/18/25,0.853461206,0.339631855,0.500509024,0.46025905,0.543411374,0.567326665,0.851917803,0.853461206,,,
2178,7/25/25,0.91851455,0.851917803,0.853461206,0.752103806,0.76736474,0.786424398,0.746708751,0.91851455,,,
2181,9/9/25,0.857601345,0.48043856,0.390475959,0.592785418,0.673027635,0.669557869,0.663899183,0.857601345,,,
2181,9/10/25,0.907121122,0.390475959,0.592785418,0.673027635,0.669557869,0.663899183,0.857601345,0.907121122,,,
2183,9/16/25,0.885584593,0.228146762,0.319514811,0.277090043,0.256557614,0.476622194,0.81395334,0.885584593,,,
2189,7/1/25,0.86052978,0.705260575,0.717244506,0.819409311,0.833957374,0.714877307,0.876610816,0.86052978,,,
2190,8/21/25,0.851721525,0.625081837,0.615590155,0.502888799,0.54655081,0.57644707,0.848034739,0.851721525,,,
2190,8/22/25,0.860625327,0.615590155,0.502888799,0.54655081,0.57644707,0.848034739,0.851721525,0.860625327,,,
2190,8/25/25,0.89450568,0.502888799,0.54655081,0.57644707,0.848034739,0.851721525,0.860625327,0.89450568,,,
2201,7/7/25,0.891729355,0.31406644,0.447569311,0.578771353,0.538262665,0.532270074,0.814099014,0.891729355,,,
2201,7/8/25,0.916808426,0.447569311,0.578771353,0.538262665,0.532270074,0.814099014,0.891729355,0.916808426,,,
2201,7/9/25,0.901714921,0.578771353,0.538262665,0.532270074,0.814099014,0.891729355,0.916808426,0.901714921,,,
2205,7/22/25,0.893433571,0.536328554,0.504752874,0.379744023,0.390920192,0.453808874,0.756358147,0.893433571,,,
2205,7/28/25,0.89333874,0.453808874,0.756358147,0.893433571,0.748689592,0.824029744,0.770470381,0.89333874,,,
2205,8/11/25,0.866798878,0.628934264,0.506218851,0.47440058,0.456947088,0.429990023,0.788986146,0.866798878,,,
2209,7/14/25,0.895857215,0.297080755,0.322504222,0.371077389,0.334030569,0.348032236,0.783986628,0.895857215,,,
2209,7/15/25,0.863131523,0.322504222,0.371077389,0.334030569,0.348032236,0.783986628,0.895857215,0.863131523,,,
2209,7/16/25,0.909426749,0.371077389,0.334030569,0.348032236,0.783986628,0.895857215,0.863131523,0.909426749,,,
2212,8/21/25,0.915615857,0.336113662,0.441748053,0.328442007,0.370078176,0.37763986,0.589525878,0.915615857,,,
2212,8/22/25,0.865817606,0.441748053,0.328442007,0.370078176,0.37763986,0.589525878,0.915615857,0.865817606,,,
2212,8/26/25,0.859448195,0.370078176,0.37763986,0.589525878,0.915615857,0.865817606,0.699634731,0.859448195,,,
2213,7/3/25,0.870547235,0.847455442,0.751172185,0.72439009,0.804666042,0.836534977,0.721298039,0.870547235,,,
2218,7/9/25,0.889238,0.478762478,0.645312786,0.617085636,0.540761352,0.524375141,0.805795372,0.889238,,,
2218,7/10/25,0.921200156,0.645312786,0.617085636,0.540761352,0.524375141,0.805795372,0.889238,0.921200156,,,
2218,7/11/25,0.86444062,0.617085636,0.540761352,0.524375141,0.805795372,0.889238,0.921200156,0.86444062,,,
2229,7/16/25,0.88618952,0.849721968,0.808279514,0.741796911,0.809084952,0.736015916,0.680102766,0.88618952,,,
2229,7/17/25,0.896762967,0.808279514,0.741796911,0.809084952,0.736015916,0.680102766,0.88618952,0.896762967,,,
2229,7/21/25,0.857211828,0.809084952,0.736015916,0.680102766,0.88618952,0.896762967,0.784272909,0.857211828,,,
2246,7/21/25,0.889243543,0.318128198,0.52221477,0.484453171,0.458177656,0.781596065,0.821743548,0.889243543,,,
2246,7/22/25,0.857913256,0.52221477,0.484453171,0.458177656,0.781596065,0.821743548,0.889243543,0.857913256,,,
2248,8/6/25,0.894109547,0.436173975,0.347648889,0.335891217,0.388775676,0.78793323,0.76180619,0.894109547,,,
